Stop Name,NexBus ID,,,,,,,,,,,,,,,,,,,,,
York Rd. at Royal City Jaycees Park,0336,9:14 AM,9:44 AM,10:14 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:14 PM,2:44 PM,3:14 PM,3:44 PM,4:14 PM,4:44 PM,5:14 PM,5:44 PM,6:14 PM,5:44 PM,7:14 PM*
York Rd. at Beaumont Cres.,0337,9:14 AM,9:44 AM,10:14 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:14 PM,2:44 PM,3:14 PM,3:44 PM,4:14 PM,4:44 PM,5:14 PM,5:44 PM,6:14 PM,5:44 PM,7:14 PM*
Victoria Rd. at York Rd. ,0338,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,5:48 PM,-
Stone Rd. E. at Victoria Rd. S.,0339,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,5:50 PM,-
Stone Rd. E. at Arbour Medical Centre,0340,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,5:50 PM,-
University Centre,0341,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,6:00 PM,-
Gordon St. at Vet College,0342,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,6:00 PM,-
Gordon St. at Macdonald Stewart Art Centre,0343,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,6:03 PM,-
Gordon St. at Dormie Lane,0344,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,6:03 PM,-
Gordon St. at Water St.,0345,9:35 AM,10:05 AM,10:35 AM,11:05 AM,11:35 AM,12:05 PM,12:35 PM,1:05 PM,1:35 PM,2:05 PM,2:35 PM,3:05 PM,3:35 PM,4:05 PM,4:35 PM,5:05 PM,5:35 PM,6:05 PM,6:35 PM,6:05 PM,-
Wellington St. at Wellington Plaza ,0347,9:35 AM,10:05 AM,10:35 AM,11:05 AM,11:35 AM,12:05 PM,12:35 PM,1:05 PM,1:35 PM,2:05 PM,2:35 PM,3:05 PM,3:35 PM,4:05 PM,4:35 PM,5:05 PM,5:35 PM,6:05 PM,6:35 PM,6:05 PM,-
Guelph Central Station,0349,9:38 AM,10:08 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:08 PM,2:38 PM,3:08 PM,3:38 PM,4:08 PM,4:38 PM,5:08 PM,5:38 PM,6:08 PM,6:38 PM,6:08 PM,-
